Planet Name,Kepler ID,Planet temp,Planet Radius,Transit duration,Period,a/R,Time of transit,r/R,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,KOI Vet Date
Kepler-220 b,9950612,789,0.81,1.453,4.16,22,133.784,0.011,6,0.717,0.655,4689,4.66,13.177,13.823,13.125,12.899,,2013-12-19 00:00:00
Kepler-220 c,9950612,607,1.64,1.511,9.034,37,171.014,0.023,6,0.717,0.655,4689,4.66,13.177,13.823,13.125,12.899,,2013-12-19 00:00:00
Kepler-220 d,9950612,416,0.88,2.762,28.123,79,146.913,0.012,6,0.717,0.655,4689,4.66,13.177,13.823,13.125,12.899,,2013-12-19 00:00:00
Kepler-220 e,9950612,353,1.18,2.819,45.904,109,166.538,0.017,6,0.717,0.655,4689,4.66,13.177,13.823,13.125,12.899,,2013-12-19 00:00:00
Kepler-221 b,9963524,1111,1.56,2.117,2.796,10.2,132.729,0.018,8.7,0.816,0.81,5324,4.54,13.749,14.358,13.699,13.489,13.382,2013-12-19 00:00:00
Kepler-221 c,9963524,875,2.96,2.516,5.691,16.5,174.048,0.034,8.7,0.816,0.81,5324,4.54,13.749,14.358,13.699,13.489,13.382,2013-12-19 00:00:00
Kepler-221 d,9963524,723,2.81,2.573,10.042,24,137.085,0.032,8.7,0.816,0.81,5324,4.54,13.749,14.358,13.699,13.489,13.382,2013-12-19 00:00:00
Kepler-221 e,9963524,591,3.05,2.36,18.37,36,131.858,0.035,8.7,0.816,0.81,5324,4.54,13.749,14.358,13.699,13.489,13.382,2013-12-19 00:00:00
Kepler-222 b,10002866,955,3,1.843,3.937,10.9,169.65,0.036,0.7,0.857,0.76,5342,4.62,15.063,15.689,14.988,14.795,14.729,2013-12-19 00:00:00
Kepler-222 c,10002866,694,4.4,1.815,10.089,20.5,173.083,0.053,0.7,0.857,0.76,5342,4.62,15.063,15.689,14.988,14.795,14.729,2013-12-19 00:00:00
Kepler-222 d,10002866,494,3.3,4.574,28.082,40,194.913,0.04,0.7,0.857,0.76,5342,4.62,15.063,15.689,14.988,14.795,14.729,2013-12-19 00:00:00
Kepler-223 b,10227020,964,1.64,5.558,7.384,10.3,137.495,0.015,7.2,0.95,1.03,5832,4.39,15.344,15.903,15.301,15.105,14.963,2013-12-19 00:00:00
Kepler-223 c,10227020,878,1.98,5.843,9.849,12.5,138.376,0.018,7.2,0.95,1.03,5832,4.39,15.344,15.903,15.301,15.105,14.963,2013-12-19 00:00:00
Kepler-223 d,10227020,765,3,6.085,14.788,16.4,176.768,0.027,7.2,0.95,1.03,5832,4.39,15.344,15.903,15.301,15.105,14.963,2013-12-19 00:00:00
Kepler-223 e,10227020,696,2.5,5.662,19.721,19.8,135.107,0.023,7.2,0.95,1.03,5832,4.39,15.344,15.903,15.301,15.105,14.963,2013-12-19 00:00:00
Kepler-224 b,10271806,990,1.52,2.051,3.133,11.8,135.677,0.019,0.6,0.825,0.72,5210,4.64,15.644,16.316,15.595,15.355,15.233,2013-12-19 00:00:00
Kepler-224 c,10271806,798,2.84,2.564,5.925,18.1,169.714,0.036,0.6,0.825,0.72,5210,4.64,15.644,16.316,15.595,15.355,15.233,2013-12-19 00:00:00
Kepler-224 d,10271806,641,2.47,3.048,11.349,28,134.318,0.031,0.6,0.825,0.72,5210,4.64,15.644,16.316,15.595,15.355,15.233,2013-12-19 00:00:00
Kepler-224 e,10271806,544,2.55,1.865,18.644,39,141.62,0.032,0.6,0.825,0.72,5210,4.64,15.644,16.316,15.595,15.355,15.233,2013-12-19 00:00:00
Kepler-225 b,10340423,586,1.38,3.03,6.739,17.4,135.279,0.022,13.8,0.593,0.563,4304,4.71,15.962,17.153,15.934,15.452,15.173,2014-06-10 00:00:00
Kepler-225 c,10340423,418,2.29,3.306,18.794,34.4,177.797,0.037,13.8,0.593,0.563,4304,4.71,15.962,17.153,15.934,15.452,15.173,2014-06-10 00:00:00
Kepler-226 b,10601284,1015,1.66,2.485,3.941,9.5,136.088,0.019,0.5,0.912,0.81,5559,4.58,15.416,15.988,15.363,15.172,15.093,2013-12-19 00:00:00
Kepler-226 c,10601284,914,2.37,3.101,5.35,11.7,171.805,0.027,0.5,0.912,0.81,5559,4.58,15.416,15.988,15.363,15.172,15.093,2013-12-19 00:00:00
Kepler-226 d,10601284,793,1.42,3.244,8.109,15.4,132.795,0.016,0.5,0.912,0.81,5559,4.58,15.416,15.988,15.363,15.172,15.093,2013-12-19 00:00:00
Kepler-227 b,10797460,867,2.5,3.172,9.488,22,170.536,0.023,7.7,0.92,0.99,5763,4.41,15.347,15.89,15.27,15.114,15.006,2014-06-10 00:00:00
Kepler-227 c,10797460,483,3.1,4.609,54.418,71,162.518,0.029,7.7,0.92,0.99,5763,4.41,15.347,15.89,15.27,15.114,15.006,2014-06-10 00:00:00
Kepler-228 b,10872983,1336,1.56,2.503,2.567,4.12,179.561,0.015,0.3,1.04,0.94,6014,4.51,15.714,16.234,15.677,15.492,15.441,2013-12-19 00:00:00
Kepler-228 c,10872983,1138,2.8,3.307,4.134,5.66,172.98,0.028,0.3,1.04,0.94,6014,4.51,15.714,16.234,15.677,15.492,15.441,2013-12-19 00:00:00
Kepler-228 d,10872983,817,4.1,4.989,11.094,10.9,171.201,0.04,0.3,1.04,0.94,6014,4.51,15.714,16.234,15.677,15.492,15.441,2013-12-19 00:00:00
Kepler-229 b,10910878,755,2.1,2.564,6.253,19.2,171.299,0.028,1.1,0.794,0.7,5099,4.65,15.841,16.559,15.77,15.534,15.368,2013-12-19 00:00:00
Kepler-229 c,10910878,555,4.8,3.529,16.069,35.9,173.622,0.063,1.1,0.794,0.7,5099,4.65,15.841,16.559,15.77,15.534,15.368,2013-12-19 00:00:00
Kepler-229 d,10910878,405,3.3,4.583,41.193,67.3,165.035,0.043,1.1,0.794,0.7,5099,4.65,15.841,16.559,15.77,15.534,15.368,2013-12-19 00:00:00
Kepler-23 b,11512246,1336,1.95,5.358,7.107,10.22,138.325,0.01,4.9,1.19,1.87,6142,3.97,13.438,13.89,13.43,13.244,13.216,2013-12-19 00:00:00
Kepler-23 c,11512246,1166,3.69,6.212,10.742,13.5,133.287,0.018,4.9,1.19,1.87,6142,3.97,13.438,13.89,13.43,13.244,13.216,2013-12-19 00:00:00
Kepler-23 d,11512246,1036,2.81,6.754,15.274,17,147.579,0.014,4.9,1.19,1.87,6142,3.97,13.438,13.89,13.43,13.244,13.216,2013-12-19 00:00:00
Kepler-230 b,11018648,513,4.2,5.36,32.625,26.5,194.138,0.046,1.8,0.918,0.83,5608,4.56,15.082,15.64,15.04,14.842,14.765,2014-06-10 00:00:00
Kepler-230 c,11018648,363,2.6,6.872,91.774,52.9,193.833,0.028,1.8,0.918,0.83,5608,4.56,15.082,15.64,15.04,14.842,14.765,2014-06-10 00:00:00
Kepler-231 b,12066335,503,1.97,1.473,10.065,29.4,136.289,0.033,13.8,0.58,0.551,4237,4.72,15.385,16.618,15.383,14.857,14.592,2013-12-19 00:00:00
Kepler-231 c,12066335,406,1.93,2.924,19.271,45.4,186.775,0.032,13.8,0.58,0.551,4237,4.72,15.385,16.618,15.383,14.857,14.592,2013-12-19 00:00:00
Kepler-232 b,12366084,1047,2.8,3.228,4.431,10.8,171.017,0.029,1.4,0.964,0.88,5774,4.54,15.367,15.912,15.311,15.133,15.081,2013-12-19 00:00:00
Kepler-232 c,12366084,762,3.4,2.37,11.379,20.2,133.851,0.035,1.4,0.964,0.88,5774,4.54,15.367,15.912,15.311,15.133,15.081,2013-12-19 00:00:00
Kepler-233 b,12470844,734,2.46,2.698,8.472,21,174.161,0.03,0.6,0.855,0.751,5331,4.62,15.339,15.945,15.271,15.079,14.978,2014-06-10 00:00:00
Kepler-233 c,12470844,381,2.4,4.969,60.419,80,181.162,0.029,0.6,0.855,0.751,5331,4.62,15.339,15.945,15.271,15.079,14.978,2014-06-10 00:00:00
Kepler-234 b,3342970,1372,3.2,3.127,2.711,4.63,170.036,0.03,0.3,1.09,1,6157,4.48,15.541,16.007,15.483,15.341,15.262,2013-12-19 00:00:00
Kepler-234 c,3342970,990,3.4,4.205,7.212,8.9,172.817,0.031,0.3,1.09,1,6157,4.48,15.541,16.007,15.483,15.341,15.262,2013-12-19 00:00:00
Kepler-235 b,4139816,723,2.17,1.901,3.34,13.8,171.978,0.036,13.9,0.581,0.552,4243,4.72,15.954,17.187,15.978,15.425,15.103,2013-12-19 00:00:00
Kepler-235 c,4139816,550,1.28,2.331,7.825,24.4,136.554,0.021,13.9,0.581,0.552,4243,4.72,15.954,17.187,15.978,15.425,15.103,2013-12-19 00:00:00
Kepler-235 d,4139816,400,2.1,3.266,20.061,45.6,147.46,0.035,13.9,0.581,0.552,4243,4.72,15.954,17.187,15.978,15.425,15.103,2013-12-19 00:00:00
Kepler-235 e,4139816,303,2,4.499,46.183,80,165.245,0.033,13.9,0.581,0.552,4243,4.72,15.954,17.187,15.978,15.425,15.103,2013-12-19 00:00:00
Kepler-236 b,4725681,504,1.96,1.404,8.296,22.1,135.792,0.034,13.7,0.549,0.524,4055,4.74,15.414,16.862,15.508,14.793,14.419,2013-12-19 00:00:00
Kepler-236 c,4725681,355,1.74,4.023,23.968,45,186.218,0.03,13.7,0.549,0.524,4055,4.74,15.414,16.862,15.508,14.793,14.419,2013-12-19 00:00:00
Kepler-237 b,5252423,794,1.58,2.491,4.715,8,134.97,0.021,13.8,0.696,0.679,4833,4.62,15.289,16.117,15.221,14.933,14.748,2013-12-19 00:00:00
Kepler-237 c,5252423,664,2.29,3.382,8.104,11.4,176.95,0.031,13.8,0.696,0.679,4833,4.62,15.289,16.117,15.221,14.933,14.748,2013-12-19 00:00:00
Kepler-238 b,5436502,1327,1.1,3.348,2.091,2.765,134.158,0.012,0.5,0.97,0.9,5779,4.55,15.084,15.6,15.003,14.862,14.768,2014-06-10 00:00:00
Kepler-238 c,5436502,931,1.7,4.952,6.156,5.68,134.825,0.018,0.5,0.97,0.9,5779,4.55,15.084,15.6,15.003,14.862,14.768,2014-06-10 00:00:00
Kepler-238 d,5436502,722,2.3,6.398,13.236,9.46,140.22,0.024,0.5,0.97,0.9,5779,4.55,15.084,15.6,15.003,14.862,14.768,2014-06-10 00:00:00
Kepler-238 e,5436502,593,5.6,8.946,23.654,13.94,171.376,0.06,0.5,0.97,0.9,5779,4.55,15.084,15.6,15.003,14.862,14.768,2014-06-10 00:00:00
Kepler-238 f,5436502,461,2,7.883,50.445,23.09,178.52,0.021,0.5,0.97,0.9,5779,4.55,15.084,15.6,15.003,14.862,14.768,2014-06-10 00:00:00
Kepler-239 b,5456651,586,2.25,3.023,11.763,21.9,180.936,0.031,0.8,0.757,0.664,4941,4.67,15.208,15.964,15.137,14.884,14.742,2014-06-10 00:00:00
Kepler-239 c,5456651,347,2.28,3.747,56.228,62,132.29,0.031,0.8,0.757,0.664,4941,4.67,15.208,15.964,15.137,14.884,14.742,2014-06-10 00:00:00
Kepler-24 b,3231341,997,2.8,4.084,8.145,7.56,140.574,0.023,5.2,1.02,1.12,6043,4.35,14.925,15.425,14.893,14.711,14.619,2013-12-19 00:00:00
Kepler-24 c,3231341,870,2.9,5.069,12.334,9.97,137.58,0.023,5.2,1.02,1.12,6043,4.35,14.925,15.425,14.893,14.711,14.619,2013-12-19 00:00:00
Kepler-24 d,3231341,1237,1.7,3.163,4.244,4.9,137.068,0.014,5.2,1.02,1.12,6043,4.35,14.925,15.425,14.893,14.711,14.619,2013-12-19 00:00:00
Kepler-24 e,3231341,754,3,3.895,18.998,13.3,144.746,0.025,5.2,1.02,1.12,6043,4.35,14.925,15.425,14.893,14.711,14.619,2013-12-19 00:00:00
Kepler-240 b,5531576,823,1.28,2.209,4.145,13.4,135.926,0.018,0.9,0.753,0.661,4921,4.67,15.66,16.443,15.562,15.325,15.133,2013-12-19 00:00:00
Kepler-240 c,5531576,662,1.99,2.645,7.954,20.6,174.661,0.028,0.9,0.753,0.661,4921,4.67,15.66,16.443,15.562,15.325,15.133,2013-12-19 00:00:00
Kepler-241 b,5794379,548,2.17,3.145,12.718,30,175.354,0.031,13.9,0.671,0.648,4709,4.64,15.389,16.296,15.349,15.001,14.741,2013-12-19 00:00:00
Kepler-241 c,5794379,387,2.61,4.302,36.066,61,198.582,0.037,13.9,0.671,0.648,4709,4.64,15.389,16.296,15.349,15.001,14.741,2013-12-19 00:00:00
Kepler-242 b,6428700,692,2.2,2.774,8.204,23.1,169.693,0.028,14,0.72,0.71,4951,4.59,15.376,16.162,15.297,15.039,14.855,2013-12-19 00:00:00
Kepler-242 c,6428700,572,1.6,3.354,14.497,33.7,143.411,0.021,14,0.72,0.71,4951,4.59,15.376,16.162,15.297,15.039,14.855,2013-12-19 00:00:00
Kepler-243 b,6587280,791,2.06,2.542,5.715,17.6,174.879,0.026,3.5,0.789,0.71,5115,4.63,15.086,15.785,14.997,14.787,14.657,2013-12-19 00:00:00
Kepler-243 c,6587280,522,2.5,1.404,20.026,40.7,146.911,0.031,3.5,0.789,0.71,5115,4.63,15.086,15.785,14.997,14.787,14.657,2013-12-19 00:00:00
Kepler-244 b,6849310,983,2.7,2.701,4.312,12.4,173.574,0.03,0.5,0.91,0.81,5553,4.58,15.604,16.18,15.548,15.357,15.278,2013-12-19 00:00:00
Kepler-244 c,6849310,745,2.6,1.51,9.767,21,186.58,0.029,0.5,0.91,0.81,5553,4.58,15.604,16.18,15.548,15.357,15.278,2013-12-19 00:00:00
Kepler-244 d,6849310,587,2.4,4.536,20.05,35,188.087,0.027,0.5,0.91,0.81,5553,4.58,15.604,16.18,15.548,15.357,15.278,2013-12-19 00:00:00
Kepler-245 b,6948054,785,2.7,2.814,7.49,18.6,174.95,0.03,13.4,0.777,0.8,5215,4.52,15.599,16.312,15.541,15.293,15.162,2013-12-19 00:00:00
Kepler-245 c,6948054,593,2.6,2.419,17.461,33,137.267,0.03,13.4,0.777,0.8,5215,4.52,15.599,16.312,15.541,15.293,15.162,2013-12-19 00:00:00
Kepler-245 d,6948054,465,3.1,4.924,36.28,53,201.266,0.036,13.4,0.777,0.8,5215,4.52,15.599,16.312,15.541,15.293,15.162,2013-12-19 00:00:00
Kepler-246 b,7134976,890,2.2,2.236,4.602,12.2,169.978,0.026,12.6,0.759,0.76,5122,4.55,15.024,15.744,14.958,14.716,14.562,2013-12-19 00:00:00
Kepler-246 c,7134976,661,1.46,3.193,11.187,22.1,137.183,0.018,12.6,0.759,0.76,5122,4.55,15.024,15.744,14.958,14.716,14.562,2013-12-19 00:00:00
Kepler-247 b,7434875,910,1.45,2.092,3.336,11.5,135.309,0.02,0.8,0.773,0.68,5010,4.66,15.067,15.794,14.99,14.755,14.63,2013-12-19 00:00:00
Kepler-247 c,7434875,643,3.8,2.931,9.439,23,177.185,0.051,0.8,0.773,0.68,5010,4.66,15.067,15.794,14.99,14.755,14.63,2013-12-19 00:00:00
Kepler-247 d,7434875,497,3.9,3.178,20.477,38,178.676,0.052,0.8,0.773,0.68,5010,4.66,15.067,15.794,14.99,14.755,14.63,2013-10-25 00:00:00
Kepler-248 b,7825899,839,3.22,3.032,6.308,14.1,174.046,0.034,5.2,0.915,0.874,5190,4.52,15.258,15.919,15.187,14.974,14.868,2014-06-10 00:00:00
Kepler-248 c,7825899,613,4.53,4.1,16.24,26.6,175.569,0.048,5.2,0.915,0.874,5190,4.52,15.258,15.919,15.187,14.974,14.868,2014-06-10 00:00:00
Kepler-249 b,7907423,629,1.2,1.813,3.307,10.4,134.37,0.022,13.9,0.506,0.492,3803,4.76,15.234,16.847,15.445,14.543,14.057,2013-12-19 00:00:00
Kepler-249 c,7907423,489,1.57,2.213,7.114,17.3,174.323,0.029,13.9,0.506,0.492,3803,4.76,15.234,16.847,15.445,14.543,14.057,2013-12-19 00:00:00
Kepler-249 d,7907423,380,1.54,2.524,15.368,29,147.392,0.029,13.9,0.506,0.492,3803,4.76,15.234,16.847,15.445,14.543,14.057,2013-12-19 00:00:00
Kepler-25 b,4349452,1313,3.4,3.545,6.239,12.37,171.705,0.019,4.65,1.192,1.66,6103,4.07,10.734,11.293,10.778,,,2013-12-19 00:00:00
Kepler-25 c,4349452,1033,6.51,2.826,12.72,19.9,178.527,0.036,4.65,1.192,1.66,6103,4.07,10.734,11.293,10.778,,,2013-12-19 00:00:00
Kepler-25 d,4349452,,,,,,,,,,,,,,,,,,
Kepler-250 b,8226994,912,0.99,2.4,4.148,12,133.41,0.012,13.2,0.753,0.76,5099,4.56,15.46,16.173,15.329,15.155,14.994,2013-12-19 00:00:00
Kepler-250 c,8226994,761,2.3,2.629,7.157,17.2,174.134,0.028,13.2,0.753,0.76,5099,4.56,15.46,16.173,15.329,15.155,14.994,2013-12-19 00:00:00
Kepler-250 d,8226994,562,2.5,2.277,17.648,31,133.546,0.03,13.2,0.753,0.76,5099,4.56,15.46,16.173,15.329,15.155,14.994,2013-12-19 00:00:00
Kepler-251 b,8247638,1153,1.66,2.801,4.791,8.4,136.312,0.014,7.9,0.96,1.09,5870,4.34,15.223,15.783,15.187,14.983,14.89,2014-06-10 00:00:00
Kepler-251 c,8247638,765,3.6,4.321,16.514,19.1,176.118,0.031,7.9,0.96,1.09,5870,4.34,15.223,15.783,15.187,14.983,14.89,2014-06-10 00:00:00
Kepler-251 d,8247638,625,3.8,5.097,30.133,28.5,190.386,0.032,7.9,0.96,1.09,5870,4.34,15.223,15.783,15.187,14.983,14.89,2014-06-10 00:00:00
Kepler-251 e,8247638,420,4.1,5.273,99.637,63,198.7,0.034,7.9,0.96,1.09,5870,4.34,15.223,15.783,15.187,14.983,14.89,2014-06-10 00:00:00
Kepler-252 b,8505670,608,1.26,1.875,6.668,20.2,137.434,0.02,13.9,0.61,0.58,4397,4.7,15.058,16.15,14.989,14.59,14.388,2013-12-19 00:00:00
Kepler-252 c,8505670,519,2.3,2.961,10.849,28,171.804,0.036,13.9,0.61,0.58,4397,4.7,15.058,16.15,14.989,14.59,14.388,2013-12-19 00:00:00
Kepler-253 b,8689373,911,1.7,1.948,3.784,8.5,133.276,0.021,0.7,0.808,0.71,5148,4.64,15.532,16.239,15.471,15.229,15.111,2013-12-19 00:00:00
Kepler-253 c,8689373,652,2.5,3.615,10.282,16.6,175.34,0.032,0.7,0.808,0.71,5148,4.64,15.532,16.239,15.471,15.229,15.111,2013-12-19 00:00:00
Kepler-253 d,8689373,538,2.9,4.356,18.12,24.3,182.617,0.038,0.7,0.808,0.71,5148,4.64,15.532,16.239,15.471,15.229,15.111,2013-12-19 00:00:00
Kepler-254 b,9334289,994,4,3.174,5.827,9.2,173.01,0.04,0.3,1.021,0.92,5956,4.52,15.843,16.344,15.806,15.629,15.568,2013-12-19 00:00:00
Kepler-254 c,9334289,772,2.52,3.435,12.412,15.3,142.544,0.025,0.3,1.021,0.92,5956,4.52,15.843,16.344,15.806,15.629,15.568,2013-12-19 00:00:00
Kepler-254 d,9334289,674,2.89,4.009,18.747,20.1,147.127,0.029,0.3,1.021,0.92,5956,4.52,15.843,16.344,15.806,15.629,15.568,2013-12-19 00:00:00
Kepler-255 b,9415172,878,1.61,2.322,5.714,9.3,132.648,0.018,2.4,0.878,0.8,5463,4.58,15.596,16.222,15.512,15.328,15.206,2013-12-19 00:00:00
Kepler-255 c,9415172,729,2.9,3.491,9.946,13.4,171.7,0.034,2.4,0.878,0.8,5463,4.58,15.596,16.222,15.512,15.328,15.206,2013-12-19 00:00:00
Kepler-256 b,9466668,1487,1.11,2.134,1.62,5,132.069,0.011,0.4,1,0.89,5870,4.54,15.065,15.569,14.992,14.849,14.82,2013-12-19 00:00:00
Kepler-256 c,9466668,1165,1.54,2.715,3.388,8.2,170.532,0.016,0.4,1,0.89,5870,4.54,15.065,15.569,14.992,14.849,14.82,2013-12-19 00:00:00
Kepler-256 d,9466668,973,1.54,3.124,5.839,11.8,132.094,0.016,0.4,1,0.89,5870,4.54,15.065,15.569,14.992,14.849,14.82,2013-12-19 00:00:00
Kepler-256 e,9466668,793,1.62,3.577,10.682,17.7,131.55,0.017,0.4,1,0.89,5870,4.54,15.065,15.569,14.992,14.849,14.82,2013-12-19 00:00:00
Kepler-257 b,9480189,1079,2,1.853,2.383,8.6,170.663,0.024,14,0.74,0.75,5058,4.56,15.471,16.26,15.398,15.133,14.977,2013-12-19 00:00:00
Kepler-257 c,9480189,775,3.4,3.098,6.582,16.9,174.786,0.042,14,0.74,0.75,5058,4.56,15.471,16.26,15.398,15.133,14.977,2013-12-19 00:00:00
Kepler-257 d,9480189,498,4.2,2.946,24.665,41,189.02,0.052,14,0.74,0.75,5058,4.56,15.471,16.26,15.398,15.133,14.977,2013-12-19 00:00:00
Kepler-258 b,9775938,562,3.1,3.476,13.197,28,171.544,0.041,13.7,0.7,0.68,4821,4.62,15.223,16.1,15.148,14.847,14.677,2013-12-19 00:00:00
Kepler-258 c,9775938,412,2.4,4.174,33.653,52,147.8,0.032,13.7,0.7,0.68,4821,4.62,15.223,16.1,15.148,14.847,14.677,2013-12-19 00:00:00
Kepler-259 b,9823457,888,2.9,2.943,8.115,14.6,174.52,0.029,0.4,1.015,0.91,5931,4.53,15.219,15.698,15.162,15.013,14.931,2013-12-19 00:00:00
Kepler-259 c,9823457,535,3.1,4.903,36.926,40,174.218,0.031,0.4,1.015,0.91,5931,4.53,15.219,15.698,15.162,15.013,14.931,2013-12-19 00:00:00
Kepler-26 b,9757613,501,3.08,2.856,12.283,30.7,170.397,0.049,5.2,0.634,0.577,4486,4.72,15.473,16.84,15.434,14.887,14.601,2013-12-19 00:00:00
Kepler-26 c,9757613,449,2.94,2.191,17.251,38.5,149.889,0.047,5.2,0.634,0.577,4486,4.72,15.473,16.84,15.434,14.887,14.601,2013-12-19 00:00:00
Kepler-26 d,9757613,761,1.13,2.055,3.544,13.4,136.263,0.018,5.2,0.634,0.577,4486,4.72,15.473,16.84,15.434,14.887,14.601,2013-12-19 00:00:00
Kepler-26 e,9757613,322,2.98,2.365,46.828,75,136.743,0.047,5.2,0.634,0.577,4486,4.72,15.473,16.84,15.434,14.887,14.601,2013-12-19 00:00:00
Kepler-260 b,2854698,791,2.04,3.082,8.187,19.5,260.867,0.021,8,0.9,0.9,5250,4.49,14.138,14.675,14.07,13.908,13.86,2014-06-10 00:00:00
Kepler-260 c,2854698,376,1.69,6.798,76.05,86,161.712,0.017,8,0.9,0.9,5250,4.49,14.138,14.675,14.07,13.908,13.86,2014-06-10 00:00:00
Kepler-261 b,2302548,690,2.21,2.81,10.381,28.9,268.024,0.025,2.4,0.876,0.799,5218,4.58,13.562,14.271,13.495,13.259,13.118,2013-12-19 00:00:00
Kepler-261 c,2302548,518,2.17,2.802,24.571,51.4,135.874,0.025,2.4,0.876,0.799,5218,4.58,13.562,14.271,13.495,13.259,13.118,2013-12-19 00:00:00
Kepler-262 b,1718189,732,1.3,2.966,13.061,32,137.638,0.014,0.4,0.986,0.88,5823,4.54,14.246,14.719,14.184,14.043,13.973,2014-06-10 00:00:00
Kepler-262 c,1718189,617,1.69,3.526,21.853,45,144.317,0.018,0.4,0.986,0.88,5823,4.54,14.246,14.719,14.184,14.043,13.973,2014-06-10 00:00:00
Kepler-263 b,2165002,592,2.66,4.149,16.568,30,146.153,0.032,7.9,0.801,0.77,5245,4.57,15.391,16.089,15.346,15.092,14.969,2013-12-19 00:00:00
Kepler-263 c,2165002,417,2.89,4.905,47.335,60,151.411,0.034,7.9,0.801,0.77,5245,4.57,15.391,16.089,15.346,15.092,14.969,2013-12-19 00:00:00
Kepler-264 b,1871056,843,4.8,14.048,40.807,13.9,155.718,0.018,3.17,1.37,2.43,6235,3.8,13.038,13.473,12.995,12.851,12.76,2014-06-10 00:00:00
Kepler-264 c,1871056,560,3.74,18.304,140.091,32,216.245,0.014,3.17,1.37,2.43,6235,3.8,13.038,13.473,12.995,12.851,12.76,2014-06-10 00:00:00
Kepler-265 b,5956342,1058,1.62,3.568,6.846,14.8,132.175,0.014,0.28,1.15,1.07,6315,4.44,15.381,15.803,15.348,15.201,15.149,2013-12-19 00:00:00
Kepler-265 c,5956342,781,2.5,4.585,17.029,27.3,143.34,0.021,0.28,1.15,1.07,6315,4.44,15.381,15.803,15.348,15.201,15.149,2013-12-19 00:00:00
Kepler-265 d,5956342,573,2.57,3.198,43.13,51,166.275,0.022,0.28,1.15,1.07,6315,4.44,15.381,15.803,15.348,15.201,15.149,2013-10-25 00:00:00
Kepler-265 e,5956342,493,2.51,6.919,67.83,68,125.904,0.021,0.28,1.15,1.07,6315,4.44,15.381,15.803,15.348,15.201,15.149,2013-10-25 00:00:00
Kepler-266 b,8240904,950,2.45,3.621,6.618,12.3,360.368,0.022,,1.06,1.02,5634,4.44,15.59,16.153,15.533,15.348,15.269,2014-06-10 00:00:00
Kepler-266 c,8240904,374,4.1,7.87,107.714,79,354.204,0.037,,1.06,1.02,5634,4.44,15.59,16.153,15.533,15.348,15.269,2014-06-10 00:00:00
Kepler-267 b,10166274,689,2,1.527,3.354,13.7,134.87,0.035,13.6,0.552,0.527,4081,4.74,15.438,16.821,15.494,14.846,14.485,2013-12-19 00:00:00
Kepler-267 c,10166274,543,2.32,1.46,6.877,22,132.084,0.04,13.6,0.552,0.527,4081,4.74,15.438,16.821,15.494,14.846,14.485,2013-12-19 00:00:00
Kepler-267 d,10166274,337,2.31,2.961,28.464,57,158.045,0.04,13.6,0.552,0.527,4081,4.74,15.438,16.821,15.494,14.846,14.485,2013-12-19 00:00:00
Kepler-268 b,2854914,699,2.9,5.509,25.934,14.5,149.761,0.024,1.71,1.13,1.13,6314,4.39,13.703,14.082,13.654,13.54,13.532,2014-06-10 00:00:00
Kepler-268 c,2854914,474,3.1,8.085,83.442,31.6,158.696,0.026,1.71,1.13,1.13,6314,4.39,13.703,14.082,13.654,13.54,13.532,2014-06-10 00:00:00
Kepler-269 b,6359320,951,2.67,3.713,5.327,5.37,357.124,0.028,,1.04,0.89,5602,4.56,15.808,16.324,15.706,15.587,15.481,2013-12-19 00:00:00
Kepler-269 c,6359320,824,1.7,4.148,8.128,7.12,358.681,0.018,,1.04,0.89,5602,4.56,15.808,16.324,15.706,15.587,15.481,2013-12-19 00:00:00
Kepler-27 b,5792202,656,5.72,3.935,15.335,19.2,174.002,0.057,1.9,0.996,0.919,5399,4.51,15.855,16.516,15.753,15.571,15.491,2014-06-10 00:00:00
Kepler-27 c,5792202,518,7.34,5.223,31.331,30.8,153.429,0.073,1.9,0.996,0.919,5399,4.51,15.855,16.516,15.753,15.571,15.491,2014-06-10 00:00:00
Kepler-270 b,8410727,990,1.87,4.935,11.476,11.8,135.393,0.013,2.73,1.17,1.28,6419,4.29,13.908,14.232,13.841,13.769,13.66,2013-12-19 00:00:00
Kepler-270 c,8410727,760,1.59,5.238,25.263,20,134.205,0.011,2.73,1.17,1.28,6419,4.29,13.908,14.232,13.841,13.769,13.66,2013-12-19 00:00:00
Kepler-271 b,8280511,830,1.46,3.551,10.435,19.7,134.821,0.014,7.1,0.925,0.97,5759,4.43,13.404,13.883,13.367,13.198,13.111,2013-12-19 00:00:00
Kepler-271 c,8280511,933,1.15,3.426,7.411,15.7,135.744,0.011,7.1,0.925,0.97,5759,4.43,13.404,13.883,13.367,13.198,13.111,2013-12-19 00:00:00
Kepler-272 b,10426656,1114,1.3,2.694,2.971,6.4,134.387,0.014,13.9,0.79,0.84,5289,4.48,14.678,15.348,14.622,14.391,14.248,2013-12-19 00:00:00
Kepler-272 c,10426656,875,1.7,3.786,6.057,10.3,135.92,0.018,13.9,0.79,0.84,5289,4.48,14.678,15.348,14.622,14.391,14.248,2013-12-19 00:00:00
Kepler-272 d,10426656,718,2,2.959,10.937,15.3,136.989,0.022,13.9,0.79,0.84,5289,4.48,14.678,15.348,14.622,14.391,14.248,2013-12-19 00:00:00
