Planet Name,Kepler ID,Planet temp,Planet Radius,Transit duration,Period,a/R,Time of transit,r/R,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,KOI Vet Date
Kepler-13 b,9941662,3370,23,3.167,1.764,4.4,120.565,0.078,0.58,2.27,2.7,9071,3.93,9.958,9.697,10.045,10.548,10.02,2013-12-19 00:00:00
Kepler-130 b,5088536,966,1.03,3.333,8.457,16.3,139.068,0.008,7.9,0.965,1.11,5873,4.33,11.529,12.13,11.581,,,2014-06-10 00:00:00
Kepler-130 c,5088536,651,2.81,5.846,27.509,35.7,182.104,0.023,7.9,0.965,1.11,5873,4.33,11.529,12.13,11.581,,,2014-06-10 00:00:00
Kepler-130 d,5088536,443,1.09,5.671,87.519,77.2,201.17,0.009,7.9,0.965,1.11,5873,4.33,11.529,12.13,11.581,,,2014-06-10 00:00:00
Kepler-131 b,5695396,719,2.41,2.926,16.092,28,170.599,0.021,5.3,1.021,1.034,5687,4.42,11.525,11.969,11.466,11.334,11.309,2013-12-19 00:00:00
Kepler-131 c,5695396,617,0.84,5.02,25.517,38,154.421,0.007,5.3,1.021,1.034,5687,4.42,11.525,11.969,11.466,11.334,11.309,2013-12-19 00:00:00
Kepler-132 b,6021275,1033,1.22,3.31,6.178,8.4,168.861,0.011,5.6,0.982,1.03,5925,4.4,11.818,12.172,11.749,11.666,11.632,2014-06-10 00:00:00
Kepler-132 c,6021275,1025,1.28,3.555,6.415,8.6,169.642,0.011,5.6,0.982,1.03,5925,4.4,11.818,12.172,11.749,11.666,11.632,2014-06-10 00:00:00
Kepler-132 d,6021275,725,1.68,3.12,18.01,17.2,179.425,0.015,5.6,0.982,1.03,5925,4.4,11.818,12.172,11.749,11.666,11.632,2014-06-10 00:00:00
Kepler-133 b,10933561,1011,2.14,2.415,8.13,9.05,134.105,0.015,9.4,1.02,1.34,5600,4.19,12.848,13.328,12.789,12.642,12.578,2013-12-19 00:00:00
Kepler-133 c,10933561,644,2.73,7.728,31.518,22.3,185.152,0.019,9.4,1.02,1.34,5600,4.19,12.848,13.328,12.789,12.642,12.578,2013-12-19 00:00:00
Kepler-134 b,11547513,1088,2.26,3.134,5.317,6.61,171.876,0.02,,1.01,1.035,5936,4.412,12.324,12.717,12.259,12.155,,2013-12-19 00:00:00
Kepler-134 c,11547513,878,1.63,2.439,10.106,10.13,135.509,0.014,,1.01,1.035,5936,4.412,12.324,12.717,12.259,12.155,,2013-12-19 00:00:00
Kepler-135 b,3642289,1177,1.73,3.941,6.003,10,171.713,0.013,2.62,1.14,1.21,6337,4.33,12.73,13.066,12.673,12.586,12.587,2013-12-19 00:00:00
Kepler-135 c,3642289,952,1.16,5.159,11.449,15.4,141.374,0.009,2.62,1.14,1.21,6337,4.33,12.73,13.066,12.673,12.586,12.587,2013-12-19 00:00:00
Kepler-136 b,7050989,914,1.91,2.86,11.579,22.5,175.586,0.014,2,1.204,1.21,6158,4.35,12.459,12.512,12.404,,,2013-12-19 00:00:00
Kepler-136 c,7050989,817,1.84,3.643,16.399,28,131.968,0.014,2,1.204,1.21,6158,4.35,12.459,12.512,12.404,,,2013-12-19 00:00:00
Kepler-137 b,7419318,778,1.61,3.224,8.436,19.2,179.886,0.017,4.4,0.908,0.858,5348,4.53,12.99,13.582,12.918,12.736,12.653,2013-12-19 00:00:00
Kepler-137 c,7419318,597,2.21,3.096,18.736,33,177.636,0.024,4.4,0.908,0.858,5348,4.53,12.99,13.582,12.918,12.736,12.653,2013-12-19 00:00:00
Kepler-138 b,7603200,491,0.79,2.059,10.312,23.2,133.552,0.012,,0.526,0.612,3900,4.585,12.925,14.014,12.893,12.457,,2013-12-19 00:00:00
Kepler-138 c,7603200,446,1.94,2.429,13.781,28.2,177.852,0.029,,0.526,0.612,3900,4.585,12.925,14.014,12.893,12.457,,2013-12-19 00:00:00
Kepler-138 d,7603200,376,2.06,2.001,23.089,40,171.005,0.031,,0.526,0.612,3900,4.585,12.925,14.014,12.893,12.457,,2013-12-19 00:00:00
Kepler-139 b,8008067,758,2.63,5.052,15.771,24.3,184.906,0.02,5.1,1.084,1.18,5622,4.33,12.701,13.186,12.631,12.494,12.455,2014-06-10 00:00:00
Kepler-139 c,8008067,351,2.8,8.228,157.07,113,481.264,0.022,5.1,1.084,1.18,5622,4.33,12.701,13.186,12.631,12.494,12.455,2014-06-10 00:00:00
Kepler-14 b,10264660,1290,10,6.271,6.79,7.299,138.087,0.056,2.27,1.374,1.63,6395,4.15,12.128,12.363,12.063,12.024,12.031,2013-12-19 00:00:00
Kepler-140 b,9881662,1378,1.53,2.991,3.254,7.1,172.661,0.012,0.88,1.207,1.166,6206,4.39,12.996,13.316,12.939,12.858,12.855,2014-06-10 00:00:00
Kepler-140 c,9881662,455,1.68,8.355,91.353,65,189.601,0.013,0.88,1.207,1.166,6206,4.39,12.996,13.316,12.939,12.858,12.855,2014-06-10 00:00:00
Kepler-141 b,10552611,3866,17.5,2.108,3.108,7.8,132.64,0.008,12.39,1.001,19.2,4104,1.87,13.448,14.223,13.361,13.116,12.986,2013-12-19 00:00:00
Kepler-141 c,10552611,2953,37.4,3.082,7.011,13.3,174.575,0.018,12.39,1.001,19.2,4104,1.87,13.448,14.223,13.361,13.116,12.986,2013-12-19 00:00:00
Kepler-142 b,10982872,1540,1.86,2.534,2.024,4.88,170.497,0.015,8.2,0.988,1.14,5744,4.32,13.203,13.645,13.158,13.013,12.969,2013-12-19 00:00:00
Kepler-142 c,10982872,1156,2.69,3.379,4.762,8.6,170.336,0.021,8.2,0.988,1.14,5744,4.32,13.203,13.645,13.158,13.013,12.969,2013-12-19 00:00:00
Kepler-142 d,10982872,559,1.58,7.463,41.809,36.7,148.698,0.013,8.2,0.988,1.14,5744,4.32,13.203,13.645,13.158,13.013,12.969,2013-12-19 00:00:00
