Planet Name,Kepler ID,KOI Name,Alt Name,RA (J2000),Dec (J2000),Planet temp,Planet Radius,Transit duration,Period,Impact Parameter,Inclination,Provenance,a/R,Transit Number,Transit Model,Time of transit,Transit Depth,Semi-major Axis,r/R,r/R err1,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,J Mag,H Mag,K Mag,KOI List,Last Update,KOI Vet Date
string,integer,string,string,ra,dec,integer,float,float,float,float,float,string,float,integer,string,float,real,float,float,float,float,float,float,integer,float,float,float,float,float,float,float,float,float,string,string,datetime
Kepler-320 c,9529744,K01806.02,Kepler-320 c,19 32 51.255,+46 10 30.46,777,1.238,4.977,17.935,0.000,90.000,q1_q16_stellar,27.830,59,mandel-agol_geometric_transit_model,138.221,140.4,0.138,0.011,3.330e-4,,,1.040,6412,4.440,13.474,13.793,13.433,13.337,13.333,12.546,12.283,12.307,YES,2014-02-26,2013-12-19 00:00:00
Kepler-321 b,8240797,K01809.02,Kepler-321 b,19 37 48.926,+44 08 45.50,1021,1.410,2.878,4.915,0.650,86.520,J-K,10.200,,Mandel and Agol (2002 ApJ 580 171),132.696,220.0,0.055,0.014,0.001,,0.898,0.909,5692,4.474,12.706,13.248,12.653,12.474,,11.621,11.300,11.249,YES,2014-02-26,2013-12-19 00:00:00
Kepler-321 c,8240797,K01809.01,Kepler-321 c,19 37 48.926,+44 08 45.50,739,2.340,2.395,13.094,0.911,87.090,J-K,19.500,,Mandel and Agol (2002 ApJ 580 171),144.524,388.0,0.105,0.024,0.001,,0.898,0.909,5692,4.474,12.706,13.248,12.653,12.474,,11.621,11.300,11.249,YES,2014-02-26,2013-12-19 00:00:00
Kepler-322 b,8277797,K01820.02,Kepler-322 b,18 45 23.716,+44 17 42.86,1801,1.970,1.982,1.654,0.913,72.190,Pinsonneault,2.950,,Mandel and Agol (2002 ApJ 580 171),132.188,132.0,0.026,0.013,4.300e-4,14.000,0.900,1.410,5536,4.090,13.530,14.088,13.491,13.292,13.191,12.246,11.867,11.837,YES,2014-02-26,2013-12-19 00:00:00
Kepler-322 c,8277797,K01820.01,Kepler-322 c,18 45 23.716,+44 17 42.86,1299,3.230,2.756,4.337,0.911,80.790,Pinsonneault,5.620,,Mandel and Agol (2002 ApJ 580 171),132.850,355.0,0.050,0.021,3.900e-4,14.000,0.900,1.410,5536,4.090,13.530,14.088,13.491,13.292,13.191,12.246,11.867,11.837,YES,2014-02-26,2013-12-19 00:00:00
Kepler-323 b,2989404,K01824.02,Kepler-323 b,19 25 31.736,+38 07 38.88,1918,1.810,2.374,1.678,0.701,80.210,Pinsonneault,4.030,,Mandel and Agol (2002 ApJ 580 171),136.050,147.0,0.029,0.012,2.000e-4,3.960,1.160,1.400,6255,4.210,12.722,13.084,12.659,12.567,12.510,11.689,11.423,11.354,YES,2014-02-26,2013-12-19 00:00:00
Kepler-323 c,2989404,K01824.01,Kepler-323 c,19 25 31.736,+38 07 38.88,1491,2.040,3.050,3.554,0.692,84.220,Pinsonneault,6.600,,Mandel and Agol (2002 ApJ 580 171),134.643,187.0,0.048,0.013,2.300e-4,3.960,1.160,1.400,6255,4.210,12.722,13.084,12.659,12.567,12.510,11.689,11.423,11.354,YES,2014-02-26,2013-12-19 00:00:00
Kepler-324 b,11601584,K01831.02,Kepler-324 b,19 05 53.152,+49 38 56.48,909,1.040,2.587,4.385,0.490,87.660,Pinsonneault,11.500,,Mandel and Agol (2002 ApJ 580 171),139.226,187.0,0.050,0.013,6.400e-4,0.800,0.850,0.750,5319,4.620,14.122,14.720,14.038,13.866,13.758,12.783,12.337,12.291,YES,2014-02-26,2014-06-10 00:00:00
Kepler-324 c,11601584,K01831.01,Kepler-324 c,19 05 53.152,+49 38 56.48,400,2.500,6.211,51.804,0.430,89.380,Pinsonneault,60.000,,Mandel and Agol (2002 ApJ 580 171),183.008,1092.0,0.258,0.030,0.001,0.800,0.850,0.750,5319,4.620,14.122,14.720,14.038,13.866,13.758,12.783,12.337,12.291,YES,2014-02-26,2014-06-10 00:00:00
Kepler-325 b,11709244,K01832.01,Kepler-325 b,19 19 20.501,+49 49 32.27,1109,3.000,1.792,4.544,0.250,89.380,Pinsonneault,19.300,,Mandel and Agol (2002 ApJ 580 171),134.898,914.0,0.052,0.028,0.004,8.200,0.918,1.000,5746,4.400,15.009,15.553,14.973,14.776,14.721,13.806,13.400,13.351,YES,2014-02-26,2013-12-19 00:00:00
Kepler-325 c,11709244,K01832.02,Kepler-325 c,19 19 20.501,+49 49 32.27,784,2.600,1.867,12.762,0.710,88.810,Pinsonneault,38.500,,Mandel and Agol (2002 ApJ 580 171),143.730,586.0,0.104,0.024,0.004,8.200,0.918,1.000,5746,4.400,15.009,15.553,14.973,14.776,14.721,13.806,13.400,13.351,YES,2014-02-26,2013-12-19 00:00:00
Kepler-325 d,11709244,K01832.03,Kepler-325 d,19 19 20.501,+49 49 32.27,542,2.800,3.432,38.716,0.420,89.950,Pinsonneault,81.000,,Mandel and Agol (2002 ApJ 580 171),134.026,793.0,0.218,0.026,0.004,8.200,0.918,1.000,5746,4.400,15.009,15.553,14.973,14.776,14.721,13.806,13.400,13.351,YES,2014-02-26,2013-12-19 00:00:00
Kepler-326 b,9471268,K01835.02,Kepler-326 b,19 37 18.127,+46 00 08.10,1664,2.920,2.048,2.248,0.440,86.520,Pinsonneault,7.700,,Mandel and Agol (2002 ApJ 580 171),133.422,263.0,0.033,0.015,3.600e-4,14.000,0.914,1.800,5110,3.890,13.693,14.404,13.623,13.388,13.260,12.229,11.783,11.673,YES,2014-02-26,2013-12-19 00:00:00
Kepler-326 c,9471268,K01835.01,Kepler-326 c,19 37 18.127,+46 00 08.10,1325,3.380,2.170,4.580,0.671,87.090,Pinsonneault,12.300,,Mandel and Agol (2002 ApJ 580 171),134.076,316.0,0.052,0.017,5.000e-4,14.000,0.914,1.800,5110,3.890,13.693,14.404,13.623,13.388,13.260,12.229,11.783,11.673,YES,2014-02-26,2013-12-19 00:00:00
Kepler-326 d,9471268,K01835.03,Kepler-326 d,19 37 18.127,+46 00 08.10,1159,3.350,1.715,6.767,0.868,87.090,Pinsonneault,16.000,,Mandel and Agol (2002 ApJ 580 171),136.615,248.0,0.068,0.017,6.700e-4,14.000,0.914,1.800,5110,3.890,13.693,14.404,13.623,13.388,13.260,12.229,11.783,11.673,YES,2014-02-26,2013-12-19 00:00:00
Kepler-327 b,8167996,K01867.01,Kepler-327 b,19 30 34.168,+44 05 15.61,744,1.200,1.637,2.550,0.410,87.660,Pinsonneault,11.100,,Mandel and Agol (2002 ApJ 580 171),132.607,538.0,0.030,0.021,0.002,13.900,0.547,0.523,4042,4.740,15.018,16.451,15.077,14.404,14.049,12.794,12.110,11.956,YES,2014-02-26,2013-12-19 00:00:00
Kepler-327 c,8167996,K01867.03,Kepler-327 c,19 30 34.168,+44 05 15.61,589,1.070,2.152,5.212,0.310,88.810,Pinsonneault,18.000,,Mandel and Agol (2002 ApJ 580 171),132.710,436.0,0.048,0.019,0.002,13.900,0.547,0.523,4042,4.740,15.018,16.451,15.077,14.404,14.049,12.794,12.110,11.956,YES,2014-02-26,2013-12-19 00:00:00
Kepler-327 d,8167996,K01867.02,Kepler-327 d,19 30 34.168,+44 05 15.61,423,2.140,1.594,13.969,0.900,88.240,Pinsonneault,35.000,,Mandel and Agol (2002 ApJ 580 171),132.172,1127.0,0.093,0.037,0.003,13.900,0.547,0.523,4042,4.740,15.018,16.451,15.077,14.404,14.049,12.794,12.110,11.956,YES,2014-02-26,2013-12-19 00:00:00
Kepler-328 b,4939346,K01873.02,Kepler-328 b,19 43 14.231,+40 00 30.64,600,3.267,10.339,34.919,0.959,84.240,q1_q16_stellar,9.560,29,mandel-agol_geometric_transit_model,157.628,578.1,0.219,0.028,0.002,,,1.064,6167,4.444,15.674,16.143,15.594,15.473,15.426,14.463,14.194,14.187,YES,2013-12-18,2014-06-10 00:00:00
Kepler-328 c,4939346,K01873.01,Kepler-328 c,19 43 14.231,+40 00 30.64,455,5.400,11.617,71.310,0.928,87.660,Pinsonneault,23.200,,Mandel and Agol (2002 ApJ 580 171),132.404,2115.0,0.344,0.051,0.001,0.300,1.070,0.970,6134,4.490,15.674,16.143,15.594,15.473,15.426,14.463,14.194,14.187,YES,2013-12-18,2014-06-10 00:00:00
Kepler-329 b,8978528,K01874.02,Kepler-329 b,19 57 04.329,+45 13 38.74,578,1.620,2.528,7.416,0.953,83.650,Pinsonneault,8.600,,Mandel and Agol (2002 ApJ 580 171),135.852,449.0,0.063,0.026,0.002,13.800,0.602,0.571,4354,4.700,15.434,16.570,15.357,14.947,14.651,13.513,12.845,12.693,YES,2014-02-26,2013-12-19 00:00:00
Kepler-329 c,8978528,K01874.01,Kepler-329 c,19 57 04.329,+45 13 38.74,426,2.470,4.530,18.685,0.911,86.520,Pinsonneault,15.800,,Mandel and Agol (2002 ApJ 580 171),136.149,1224.0,0.116,0.040,0.001,13.800,0.602,0.571,4354,4.700,15.434,16.570,15.357,14.947,14.651,13.513,12.845,12.693,YES,2014-02-26,2013-12-19 00:00:00
Kepler-33 b,9458613,K00707.05,Kepler-33 b,19 16 18.611,+46 00 18.79,1347,1.790,4.844,5.668,0.740,83.080,SME,6.190,,Mandel and Agol (2002 ApJ 580 171),131.892,82.0,0.068,0.009,3.600e-4,4.240,1.295,1.820,5904,4.030,13.988,14.392,13.943,13.815,13.741,12.871,12.620,12.591,YES,2013-03-05,2013-12-19 00:00:00
