Planet Name,Kepler ID,KOI Name,Alt Name,RA (J2000),Dec (J2000),Planet temp,Planet Radius,Transit duration,Period,Impact Parameter,Inclination,Provenance,a/R,Transit Number,Transit Model,Time of transit,Transit Depth,Semi-major Axis,r/R,r/R err1,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,J Mag,H Mag,K Mag,KOI List,Last Update,KOI Vet Date
Kepler-410 A b,8866102,K00042.01,Kepler-410 A b,18 52 36.167,+45 08 23.40,845,2.71,4.655,17.834,0.773,87.66,SME,19.4,,Mandel and Agol (2002 ApJ 580 171),181.222,331,0.141,0.018,0.0001,3.4,1.17,1.36,6170,4.24,9.364,9.669,9.329,9.234,9.299,8.417,8.191,8.14,YES,2013-12-18,2013-12-19 00:00:00
Kepler-411 b,11551692,K01781.02,Kepler-411 b,19 10 25.342,+49 31 23.73,981,2.27,2.048,3.005,0.814,83.65,SPC,7.1,,Mandel and Agol (2002 ApJ 580 171),137.103,697,0.038,0.027,0.00063,4.4,0.825,0.759,4977,4.59,12.231,13.041,12.163,11.884,11.744,10.641,10.161,10.062,YES,2014-01-16,2014-06-10 00:00:00
Kepler-412 b,7877496,K00202.01,Kepler-412 b,19 04 26.477,+43 40 51.46,1608,11.2,2.048,1.721,0.753,81.93,Pinsonneault,5.22,,Mandel and Agol (2002 ApJ 580 171),133.02,9994,0.029,0.1,0.00023,2,1.06,1.03,6119,4.44,14.309,14.727,14.24,14.13,14.077,13.19,12.932,12.837,YES,2014-01-30,2013-12-19 00:00:00
Kepler-413 b,12351927,,Kepler-413 b,19 14 02.549,+51 09 44.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,2014-01-30,
Kepler-414 b,10878263,K00341.02,Kepler-414 b,19 51 50.772,+48 14 39.70,1015,1.69,2.626,4.7,0.73,85.94,SPC,9.8,,Mandel and Agol (2002 ApJ 580 171),177.614,267,0.054,0.017,0.002,5.5,0.951,0.933,5536,4.48,13.338,13.879,13.276,13.106,13.034,12.087,11.75,11.698,YES,2014-05-28,2013-12-19 00:00:00
Kepler-414 c,10878263,K00341.01,Kepler-414 c,19 51 50.772,+48 14 39.70,879,2.97,3.048,7.171,0.74,86.52,SPC,12.9,,Mandel and Agol (2002 ApJ 580 171),176.664,850,0.072,0.029,0.003,5.5,0.951,0.933,5536,4.48,13.338,13.879,13.276,13.106,13.034,12.087,11.75,11.698,YES,2014-05-28,2013-12-19 00:00:00
Kepler-415 b,3554031,K01194.03,Kepler-415 b,19 35 13.059,+38 38 20.87,714,1.15,2.228,4.176,0.36,88.24,KIC,13.6,,Mandel and Agol (2002 ApJ 580 171),352.995,369,0.044,0.017,0.003,,0.64,0.61,4350,4.68,15.842,16.893,15.784,15.391,15.148,14.091,13.434,13.378,YES,2014-05-28,2013-12-19 00:00:00
Kepler-415 c,3554031,K01194.01,Kepler-415 c,19 35 13.059,+38 38 20.87,558,1.9,2.455,8.708,0.62,88.24,KIC,22.3,,Mandel and Agol (2002 ApJ 580 171),363.061,948,0.072,0.029,0.005,,0.64,0.61,4350,4.68,15.842,16.893,15.784,15.391,15.148,14.091,13.434,13.378,YES,2014-05-28,2013-12-19 00:00:00
Kepler-416 b,4157325,K01860.01,Kepler-416 b,19 26 13.667,+39 13 38.25,1017,2.58,3.192,6.319,0.46,88.24,KIC,13.8,,Mandel and Agol (2002 ApJ 580 171),132.228,509,0.069,0.021,0.00046,,1.08,1.12,5708,4.37,14.028,14.509,13.977,13.822,13.745,12.874,12.576,12.51,YES,2014-05-28,2014-06-10 00:00:00
Kepler-416 c,4157325,K01860.02,Kepler-416 c,19 26 13.667,+39 13 38.25,816,2.5,4.178,12.209,0.35,88.81,KIC,21.4,,Mandel and Agol (2002 ApJ 580 171),360.322,487,0.107,0.02,0.0005,,1.08,1.12,5708,4.37,14.028,14.509,13.977,13.822,13.745,12.874,12.576,12.51,YES,2014-05-28,2014-06-10 00:00:00
Kepler-417 b,7207061,K02113.02,Kepler-417 b,19 35 17.834,+42 46 46.92,648,2.38,3.089,12.331,0.42,89.38,KIC,28.5,,Mandel and Agol (2002 ApJ 580 171),361.969,822,0.103,0.026,0.004,,0.95,0.83,5177,4.58,15.886,16.568,15.823,15.593,15.478,14.426,13.958,13.922,YES,2014-05-28,2013-12-19 00:00:00
Kepler-417 c,7207061,K02113.01,Kepler-417 c,19 35 17.834,+42 46 46.92,596,2.8,3.361,15.943,0.44,89.38,KIC,33.8,,Mandel and Agol (2002 ApJ 580 171),146.322,1094,0.122,0.03,0.005,,0.95,0.83,5177,4.58,15.886,16.568,15.823,15.593,15.478,14.426,13.958,13.922,YES,2014-05-28,2013-12-19 00:00:00
Kepler-418 b,3247268,K01089.01,Kepler-418 b,19 37 44.040,+38 21 19.62,447,9.7,10.114,86.678,0.381,89.95,Pinsonneault,66.4,,Mandel and Agol (2002 ApJ 580 171),175.596,8117,0.393,0.084,0.00056,2.1,1.08,1.06,6166,4.42,14.696,15.153,14.644,14.501,14.421,13.493,13.243,13.103,YES,2014-05-28,2014-06-10 00:00:00
Kepler-419 b,12365184,K01474.01,Kepler-419 b,19 41 40.290,+51 11 05.14,543,9.3,3.827,69.733,0.27,89.95,SPC,143,,Mandel and Agol (2002 ApJ 580 171),196.063,4439,0.363,0.061,0.004,1.9,1.313,1.39,6293,4.27,13.005,13.276,12.969,12.889,12.879,12.088,11.899,11.859,YES,2014-06-26,2014-06-10 00:00:00
Kepler-419 c,12365184,,Kepler-419 c,19 41 40.290,+51 11 05.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,2014-06-26,
Kepler-42 b,8561063,K00961.01,Kepler-42 b,19 28 52.573,+44 37 08.98,1106,3.46,0.542,1.214,0.77,86.52,J-K,12.1,,Mandel and Agol (2002 ApJ 580 171),170.483,2033,0.019,0.047,0.004,,0.617,0.681,4188,4.562,15.92,17.27,15.909,15.338,,12.177,11.685,11.465,YES,2013-03-05,2013-12-19 00:00:00
Kepler-42 c,8561063,K00961.02,Kepler-42 c,19 28 52.573,+44 37 08.98,1524,3.19,0.436,0.453,0.69,83.65,J-K,6.3,,Mandel and Agol (2002 ApJ 580 171),133.869,1924,0.01,0.043,0.004,,0.617,0.681,4188,4.562,15.92,17.27,15.909,15.338,,12.177,11.685,11.465,YES,2013-03-05,2013-10-25 00:00:00
Kepler-42 d,8561063,K00961.03,Kepler-42 d,19 28 52.573,+44 37 08.98,964,3.08,0.513,1.865,0.87,87.09,J-K,16.1,,Mandel and Agol (2002 ApJ 580 171),133.792,1344,0.025,0.041,0.004,,0.617,0.681,4188,4.562,15.92,17.27,15.909,15.338,,12.177,11.685,11.465,YES,2013-03-05,2013-12-19 00:00:00
Kepler-420 b,8751933,K01257.01,Kepler-420 b,19 24 54.045,+44 55 38.57,364,7.1,4.25,86.648,0.02,89.95,Pinsonneault,168,,Mandel and Agol (2002 ApJ 580 171),173.793,7248,0.355,0.076,0.003,13.9,0.8,0.85,5311,4.47,14.651,15.313,14.602,14.367,14.246,13.222,12.827,12.726,YES,2014-06-26,2014-06-10 00:00:00
Kepler-421 b,8800954,K01274.01,Kepler-421 b,18 53 01.633,+45 05 16.01,216,4.73,16.728,362,0.778,89.38,SPC,117.7,,Mandel and Agol (2002 ApJ 580 171),492.768,2970,0.923,0.055,0.001,9.3,0.801,0.787,5310,4.55,13.354,13.928,13.314,13.107,13.008,12.009,11.619,11.535,YES,2014-07-23,2013-10-25 00:00:00
